id;label;Lat;Lng;timeZone
3124964;Ciudad Lineal - ES;40.44505; -3.65132;Europe/Madrid
613607;Kutaisi - GE;42.26791; 42.69459;Asia/Tbilisi
1798821;Pingdu - CN;36.78444; 119.94639;Asia/Shanghai
3463011;Franca - BR;-20.53861; -47.40083;America/Sao_Paulo
1253894;Ulhasnagar - IN;19.21667; 73.15;Asia/Kolkata
502971;Ramenki - RU;55.7; 37.5;Europe/Moscow
741385;Mustafakemalpasa - TR;40.03815; 28.40866;Europe/Istanbul
3591062;Puerto Barrios - GT;15.72778; -88.59444;America/Guatemala
1275198;Brahmapur - IN;19.31151; 84.7929;Asia/Kolkata
7279599;Airoli - IN;19.15096; 72.99625;Asia/Kolkata
3461859;Guaratingueta - BR;-22.81639; -45.1925;America/Sao_Paulo
1721906;Cabanatuan City - PH;15.48586; 120.96648;Asia/Manila
4781708;Richmond - US;37.55376; -77.46026;America/New_York
2954172;Augsburg - DE;48.37154; 10.89851;Europe/Berlin
2634491;West Bromwich - GB;52.51868; -1.9945;Europe/London
1789273;Sanshui - CN;23.15486; 112.89161;Asia/Shanghai
2035513;Panshan - CN;41.18806; 122.04944;Asia/Shanghai
2147714;Sydney - AU;-33.86785; 151.20732;Australia/Sydney
1165221;Shekhupura - PK;31.71287; 73.98556;Asia/Karachi
1849846;Toyohashi - JP;34.76667; 137.38333;Asia/Tokyo
1261809;Narela - IN;28.85267; 77.09288;Asia/Kolkata
2332121;Lekki - NG;6.41222; 4.0947;Africa/Lagos
1862752;Higashi-osaka - JP;34.66667; 135.58333;Asia/Tokyo
737022;Zonguldak - TR;41.45139; 31.79305;Europe/Istanbul
1633118;Palangkaraya - ID;-2.20833; 113.91667;Asia/Pontianak
1253200;Vidisha - IN;23.52604; 77.81092;Asia/Kolkata
1253573;Vadodara - IN;22.29941; 73.20812;Asia/Kolkata
6252065;Nou Barris - ES;41.44163; 2.17727;Europe/Madrid
1344377;Haldia - IN;22.06046; 88.10975;Asia/Kolkata
3114965;Ourense - ES;42.33669; -7.86407;Europe/Madrid
2637546;Solihull - GB;52.41426; -1.78094;Europe/London
2853969;Pforzheim - DE;48.88436; 8.69892;Europe/Berlin
184707;Naivasha - KE;-0.71383; 36.43261;Africa/Nairobi
1309937;Pyin Oo Lwin - MM;22.03501; 96.45683;Asia/Yangon
3121245;Gracia - ES;41.40237; 2.15641;Europe/Madrid
2427123;N'Djamena - TD;12.10672; 15.0444;Africa/Ndjamena
179330;Thika - KE;-1.03326; 37.06933;Africa/Nairobi
2654675;Bristol - GB;51.45523; -2.59665;Europe/London
292932;Ajman City - AE;25.40177; 55.47878;Asia/Dubai
2165798;Geelong - AU;-38.14711; 144.36069;Australia/Melbourne
1337240;Nawabganj - BD;24.59025; 88.27444;Asia/Dhaka
495136;Shchukino - RU;55.8; 37.45;Europe/Moscow
310859;Kahramanmaras - TR;37.5847; 36.92641;Europe/Istanbul
1584071;Da Lat - VN;11.94646; 108.44193;Asia/Ho_Chi_Minh
1854083;Omuta - JP;33.03333; 130.45;Asia/Tokyo
